target_date,generated_at,fixture_id,league,country,home_team,away_team,fixture_datetime_utc,promotion_status,promotion_reason,source_path,allowed_downstream_use,auto_apply,production_change
2026-06-18,2026-06-18T20:37:24+01:00,1493544,USL Championship,USA,Indy Eleven,Brooklyn,,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_api_enriched_fixture_results_refresh.csv,WAIT_SCORING,NO,NO
2026-06-18,2026-06-18T20:37:24+01:00,1493543,USL Championship,USA,FC Tulsa,Monterey Bay,,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_api_enriched_fixture_results_refresh.csv,WAIT_SCORING,NO,NO
2026-06-18,2026-06-18T20:37:24+01:00,1493866,USL League One,USA,Forward Madison,Fort Wayne,,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_api_enriched_fixture_results_refresh.csv,WAIT_SCORING,NO,NO
2026-06-18,2026-06-18T20:37:24+01:00,1542415,Premier League,Mongolia,Khovd Western,Khangarid,,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_api_enriched_fixture_results_refresh.csv,WAIT_SCORING,NO,NO
2026-06-18,2026-06-18T20:37:24+01:00,1542416,Premier League,Mongolia,Khovd,Deren,,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_api_enriched_fixture_results_refresh.csv,WAIT_SCORING,NO,NO
2026-06-18,2026-06-18T20:37:24+01:00,1534765,1. Division,Kazakhstan,Akademiya Ontustik,Yelimay Semey 2,,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_api_enriched_fixture_results_refresh.csv,WAIT_SCORING,NO,NO
2026-06-18,2026-06-18T20:37:24+01:00,1457805,Ligi kuu Bara,Tanzania,JKT Tanzania,Tanzania Prisons,,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_api_enriched_fixture_results_refresh.csv,WAIT_SCORING,NO,NO
2026-06-18,2026-06-18T20:37:24+01:00,1477244,Ligi kuu Bara,Tanzania,Pamba Jiji,Mtibwa Sugar,,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_api_enriched_fixture_results_refresh.csv,WAIT_SCORING,NO,NO
2026-06-18,2026-06-18T20:37:24+01:00,1477246,Ligi kuu Bara,Tanzania,Fountain Gate,Young Africans,,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_api_enriched_fixture_results_refresh.csv,WAIT_SCORING,NO,NO
2026-06-18,2026-06-18T20:37:24+01:00,1534766,1. Division,Kazakhstan,Arys,Kaspij Aktau 2,,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_api_enriched_fixture_results_refresh.csv,WAIT_SCORING,NO,NO
