endpoint,scripts_using,purpose,main_params,pipeline_scope,response_use_level,evidence,notes
/fixtures,fetch_matches.py; scripts/run_today_match_pipeline.py; scripts/run_historical_labeling_pipeline.py; scripts/refresh_finished_results_by_date.py; scripts/refresh_finished_results.py; scripts/enrich_recent_form.py; scripts/enrich_recent_form_v2.py; scripts/check_api_plan.py,"Base fixture list, today fixtures, historical finished fixtures, post-result refresh, and recent-form source","date, timezone; team, season, last; league, season, last in diagnostics",today; historical; post-results; diagnostics; legacy,PARTIAL_USE,api_football_cache.sqlite3 has 577 /fixtures entries; data/raw/api_matches.json stores date+timezone payload; team_recent_fixtures_cache_v2.json stores team-season last-15 fixture payloads,Production uses core fixture/league/team/goal/status fields; ignores venue/referee/periods/logos/league round/team winner except status/result basics.
/standings,scripts/enrich_standings_context.py; scripts/check_api_plan.py,Table position and urgency context for TIER_1/TIER_2 matches,"league, season",today; historical; diagnostics,PARTIAL_USE,api_football_cache.sqlite3 has 33 /standings entries; matches.csv contains home_rank/away_rank/points/goals_diff/urgency,"Uses all-table rank/points/goalsDiff/played/goals; ignores home/away split, recent table form string, description/qualification zone, group/status/update."
/odds,scripts/enrich_odds_context_v3.py; scripts/enrich_odds_context_v2.py; scripts/enrich_odds_context.py,"Pre-match market prices for 1X2, BTTS, O/U, double chance, draw-no-bet","fixture; v2 legacy also bet=1,5,8,12,206,207",today; historical; legacy,PARTIAL_USE,api_football_cache.sqlite3 has 814 /odds entries; matches.csv contains odds_*_v3 and implied probability columns,"v3 fetches full fixture odds but only extracts six bet families and max odd per outcome; bookmaker identity, bookmaker-specific lines, update time, many market families, market depth, and line movement are ignored."
/fixtures/headtohead,scripts/enrich_tie_context.py,Find prior first leg for two-leg ties and derive aggregate state before second leg,"h2h=teamA-teamB, last=10",today; historical,MINIMAL_USE,api_football_cache.sqlite3 has 69 /fixtures/headtohead entries; data/raw/tie_context_cache.json stores 69 h2h key payloads,"Uses only fixture id/date/timestamp, league id/season, teams ids, goals. Not used for general H2H strength, venue context, referee, score phases, or recency weighting."
/odds/bets,scripts/cache_odds_reference.py,Cache odds market reference names/ids,none,reference only,MINIMAL_USE,data/cache/odds_bets_reference.json has 337 bet definitions; cache DB has 1 entry,Reference cache only; not joined into scoring except hard-coded bet ids already in code.
/odds/bookmakers,scripts/cache_odds_reference.py,Cache bookmaker reference names/ids,none,reference only,MINIMAL_USE,data/cache/odds_bookmakers_reference.json has 33 bookmakers; cache DB has 1 entry,Reference cache only; bookmaker quality/source selection is not modeled.
/status,scripts/check_api_plan.py,Plan/API diagnostic,none,diagnostics only,MINIMAL_USE,api_plan_report.csv status_endpoint OK; cache DB has 1 /status entry,Not used by prediction pipeline.
/leagues,scripts/check_api_plan.py,Plan/current-season access diagnostic,"id, season",diagnostics only,MINIMAL_USE,api_plan_report.csv has leagues_allowed_season_2024 and current-season checks; cache DB has 2 /leagues entries,League coverage metadata is not used to gate feature availability or adjust scores.
/fixtures/statistics,scripts/check_api_plan.py; APIFootballClient.fixture_statistics helper,Plan diagnostic only; not production-enriched,fixture,diagnostics only,FETCHED_NOT_CONSUMED,api_plan_report.csv checks fixture_statistics; cache DB has exactly 1 /fixtures/statistics response from fixture 1208399,"No script extracts shots, possession, cards, corners, xG-like proxy, attacks, or SOT into model features."
/fixtures/lineups,scripts/check_api_plan.py; APIFootballClient.fixture_lineups helper,Plan diagnostic only; not production-enriched,fixture,diagnostics only,FETCHED_NOT_CONSUMED,api_plan_report.csv checks fixture_lineups; cache DB has exactly 1 /fixtures/lineups response from fixture 1208399,"No script extracts formations, starting XI, substitutes, coach, or player availability into model features."
/injuries,APIFootballClient.injuries helper only,Unused helper for injury data,not called,not used,NOT_USED,rg found no client.injuries calls and cache DB has no /injuries entries,home_absences/away_absences remain zero-filled placeholders rather than API-sourced injuries.
/predictions,APIFootballClient.predictions helper only,Unused helper for API-Sports prediction payload,fixture if called,not used,NOT_USED,rg found no client.predictions calls and cache DB has no /predictions entries,No external API prediction signal is used or compared against vSIGMA probabilities.
