target_date,file_name,path,pipeline_mode,candidate_version,status,detail,rows,snapshot_path
2026-05-20,vsigma_today_competition_shortlist.csv,/home/runner/work/vsigma/vsigma/data/processed/vsigma_today_competition_shortlist.csv,PRE,OFFICIAL_BASELINE,PASS,output is fresh for requested target date,1,/home/runner/work/vsigma/vsigma/data/processed/today/2026-05-20/vsigma_today_competition_shortlist.csv
2026-05-20,vsigma_today_competition_top.csv,/home/runner/work/vsigma/vsigma/data/processed/vsigma_today_competition_top.csv,PRE,OFFICIAL_BASELINE,PASS,output is fresh for requested target date,1,/home/runner/work/vsigma/vsigma/data/processed/today/2026-05-20/vsigma_today_competition_top.csv
2026-05-20,vsigma_today_candidate_v2_competition_shortlist.csv,/home/runner/work/vsigma/vsigma/data/processed/vsigma_today_candidate_v2_competition_shortlist.csv,PRE,CANDIDATE_V2,PASS,output is fresh for requested target date,1,/home/runner/work/vsigma/vsigma/data/processed/today/2026-05-20/vsigma_today_candidate_v2_competition_shortlist.csv
2026-05-20,vsigma_today_candidate_v2_competition_top.csv,/home/runner/work/vsigma/vsigma/data/processed/vsigma_today_candidate_v2_competition_top.csv,PRE,CANDIDATE_V2,PASS,output is fresh for requested target date,1,/home/runner/work/vsigma/vsigma/data/processed/today/2026-05-20/vsigma_today_candidate_v2_competition_top.csv
2026-05-20,vsigma_today_candidate_v4_competition_shortlist.csv,/home/runner/work/vsigma/vsigma/data/processed/vsigma_today_candidate_v4_competition_shortlist.csv,PRE,CANDIDATE_V4,PASS,output is fresh for requested target date,1,/home/runner/work/vsigma/vsigma/data/processed/today/2026-05-20/vsigma_today_candidate_v4_competition_shortlist.csv
2026-05-20,vsigma_today_candidate_v4_competition_top.csv,/home/runner/work/vsigma/vsigma/data/processed/vsigma_today_candidate_v4_competition_top.csv,PRE,CANDIDATE_V4,PASS,output is fresh for requested target date,1,/home/runner/work/vsigma/vsigma/data/processed/today/2026-05-20/vsigma_today_candidate_v4_competition_top.csv
2026-05-20,vsigma_today_candidate_v5_competition_shortlist.csv,/home/runner/work/vsigma/vsigma/data/processed/vsigma_today_candidate_v5_competition_shortlist.csv,PRE,CANDIDATE_V5,PASS,output is fresh for requested target date,1,/home/runner/work/vsigma/vsigma/data/processed/today/2026-05-20/vsigma_today_candidate_v5_competition_shortlist.csv
2026-05-20,vsigma_today_candidate_v5_competition_top.csv,/home/runner/work/vsigma/vsigma/data/processed/vsigma_today_candidate_v5_competition_top.csv,PRE,CANDIDATE_V5,PASS,output is fresh for requested target date,1,/home/runner/work/vsigma/vsigma/data/processed/today/2026-05-20/vsigma_today_candidate_v5_competition_top.csv
2026-05-20,vsigma_today_candidate_v6_competition_shortlist.csv,/home/runner/work/vsigma/vsigma/data/processed/vsigma_today_candidate_v6_competition_shortlist.csv,PRE,CANDIDATE_V6,PASS,output is fresh for requested target date,1,/home/runner/work/vsigma/vsigma/data/processed/today/2026-05-20/vsigma_today_candidate_v6_competition_shortlist.csv
2026-05-20,vsigma_today_candidate_v6_competition_top.csv,/home/runner/work/vsigma/vsigma/data/processed/vsigma_today_candidate_v6_competition_top.csv,PRE,CANDIDATE_V6,PASS,output is fresh for requested target date,1,/home/runner/work/vsigma/vsigma/data/processed/today/2026-05-20/vsigma_today_candidate_v6_competition_top.csv
