target_date,generated_at,section,status,detail,next_action,auto_apply,production_change
2026-06-20,2026-06-20T17:59:51+01:00,operator_gate,LIVE,action=LIVE; final=WAIT_LIVE_WINDOW; risk=MEDIUM; health=ATTENTION; board_rows=10,Use this as the first read; never override BROKEN/NO_BET gates.,NO,NO
2026-06-20,2026-06-20T17:59:51+01:00,executable_prematch,NONE,no prematch executable rows,"Only rows here can be discussed as prematch executable, still manual-only.",NO,NO
2026-06-20,2026-06-20T17:59:51+01:00,live_only,ROWS=1,#1 | LIVE_ONLY | Almeria vs Malaga | market=OVER_1_5_SUPPORTED | alt=OVER_2_5_REVIEW | stake=NO_STAKE_OR_SYMBOLIC | permission=NO_PREMATCH | conf=MEDIUM | score=28 | window=TOO_EARLY | live=TOO_EARLY | match=NS | min=0,Wait for live trigger confirmation; no chase outside window.,NO,NO
2026-06-20,2026-06-20T17:59:51+01:00,watchlist,NONE,no watchlist rows,Observation only unless promoted by later gates.,NO,NO
2026-06-20,2026-06-20T17:59:51+01:00,no_bet,ROWS=9,count=9; top=#2 | NO_BET | Ceara vs Botafogo SP | market=NO_CLEAR_STAT_MARKET | stake=NO_STAKE | permission=NO | conf=LOW | score=-42; #3 | NO_BET | Londrina vs Athletic Club | market=NO_CLEAR_STAT_MARKET | stake=NO_STAKE | permission=NO | conf=LOW | score=-42; #4 | NO_BET | Vila Nova vs Nautico Recife | market=NO_CLEAR_STAT_MARKET | stake=NO_STAKE | permission=NO | conf=LOW | score=-42,Do not fill ranking from blocked rows.,NO,NO
2026-06-20,2026-06-20T17:59:51+01:00,api_coverage,OK,rows=10; source_guard=DATED_INPUT_ONLY; API_COVERAGE_GATE_V2=10; permission=NO_PREMATCH=1; NO=9; avg_coverage=23.0; warnings=LINEUPS_INACTIVE=1; API_EARLY_LOW_SUPPORT=1; PARTIAL_RECENT_STATS=9; SHOT_SAMPLE_WEAK=9; CORNER_SAMPLE_WEAK=9; CARD_SAMPLE_WEAK=9,Coverage gaps block promotion; do not infer missing data.,NO,NO
2026-06-20,2026-06-20T17:59:51+01:00,official_probable_lineups,OK,files=4; rows=118; statuses=UNKNOWN=1; LEARNING_ONLY=1; IMPORTED=6,Probables do not become official; quarantine/learning-only stays non-execution.,NO,NO
2026-06-20,2026-06-20T17:59:51+01:00,source_reliability_governor,ADVISORY_ONLY,sources=15; verdicts=HOLD_SAMPLE=15; sample_gates=INSUFFICIENT_SAMPLE=15; actions=KEEP_ACTIVE_COLLECT_MORE_DATA=15,Advisory only; no automatic source weight changes.,NO,NO
2026-06-20,2026-06-20T17:59:51+01:00,automation_health,ATTENTION,system_status=ATTENTION; components=11; severity=WARN=2; INFO=5; OK=4; status_counts=OK=7; CONFIG_EXPECTED=4,"If BROKEN, fix workflow/input before talking picks.",NO,NO
2026-06-20,2026-06-20T17:59:51+01:00,next_triggers_rechecks,DIAGNOSTIC,triggers=3,Use scheduled workflows or trigger bridge; no betting execution.,NO,NO
2026-06-20,2026-06-20T17:59:49+01:00,date_coherence_guard,OK,board_status=daily_board_md=OK; daily_board_csv=OK; mismatch_count=0; missing_core_count=0; trigger_date_counts=2026-06-20=2,All dated artifacts/triggers reviewed by guard are coherent.,NO,NO
2026-06-20,2026-06-20T17:59:49+01:00,upstream_board_input_diagnostic,UPSTREAM_MISSING,first_empty_required_component=context_matrix; forecast_rows=10; translator_rows=10; board_rows=10,Build missing required upstream component first: context_matrix.,NO,NO
2026-06-20,2026-06-20T17:59:49+01:00,real_shortlist_recovery_diagnostic,REAL_CANDIDATES_AVAILABLE,root_cause=real shortlist or bets rows exist; root_scored_same_day_rows=10; real_shortlist_rows=2; real_bet_rows=1; proxy_rows=0,Use normal gates; do not rely on proxy bridge unless real rows fail downstream.,NO,NO
2026-06-20,2026-06-20T17:59:49+01:00,local_raw_fixture_discovery,LOCAL_RAW_CANDIDATES_FOUND,files_scanned=2061; accepted_rows=452; rejected_rows=1935,"Review accepted rows, then feed normal scoring gates.",NO,NO
2026-06-20,2026-06-20T17:59:51+01:00,raw_candidate_trust_gate,TRUSTED_RAW_SOURCE=387; QUARANTINE_REVIEW=65,rows_reviewed=452; trusted_rows=387; blocked_rows=0; quarantine_rows=65,Only TRUSTED_RAW_SOURCE rows may be considered for scoring; quarantine/rejected rows remain diagnostic only.,NO,NO
2026-06-20,2026-06-20T17:59:51+01:00,trusted_raw_candidate_promotion_gate,TRUSTED_SOURCE_BUT_NO_SCORED_ROW=377; NOT_TRUSTED_NO_PROMOTION=65; TRUSTED_SOURCE_BUT_NO_DATA_BLOCKED=9; PROMOTED_TO_SCORING_INPUT=1,rows_reviewed=452; promoted_rows=1; blocked_rows=9; quarantine_rows=377,Promoted rows may feed normal scoring gates only.,NO,NO
2026-06-20,2026-06-20T17:59:51+01:00,scoring_gap_explainer,MISSING_SCORED_ROW=377; NOT_TRUSTED_SKIPPED=65; SCORED_ROW_NO_DATA_BLOCKED=9; PROMOTED=1,missing_scored_rows=377; no_data_blocked_rows=9; not_trusted_rows=65; promoted_rows=1,Repair scoring/enrichment for trusted raw candidates; no market discussion until rows are scored and non-blocked.,NO,NO
2026-06-20,2026-06-20T17:59:51+01:00,trusted_raw_scoring_queue,P1_TRUSTED_MISSING_SCORING=333; P2_LOW_COVERAGE_SCORING=44,queue_rows=377; priority_counts=P1_TRUSTED_MISSING_SCORING=333; P2_LOW_COVERAGE_SCORING=44; scoring_needed_counts=YES=377,Use this queue as the explicit input list for a future scoring/enrichment repair stage. Do not create picks from queue rows.,NO,NO
