target_date,generated_at,rank,fixture_id,home_team,away_team,base_decision,recheck_decision,primary_market,secondary_market,stake_band,lineup_status,minutes_to_kickoff,availability_status,gate_decision,forecast_confidence,translation_score,kill_switch,next_check,operator_note,source_guard,auto_apply,production_change
2026-06-20,2026-06-20T22:16:01+01:00,1,1551272,Almeria,Malaga,LIVE_ONLY,LIVE_ONLY_WAIT_TRIGGER,OVER_1_5_SUPPORTED,OVER_2_5_REVIEW,NO_STAKE_OR_SYMBOLIC,WAIT_PRELOCK,505.29,AVAILABILITY_UNKNOWN_OR_CLEAN,WAIT_PRELOCK,MEDIUM,28,NONE,wait for live trigger,prematch serious stake blocked,DATED_INPUT_ONLY,NO,NO
2026-06-20,2026-06-20T22:16:01+01:00,2,1520732,Ceara,Botafogo SP,NO_BET,CANCELLED_NO_BET,NO_CLEAR_STAT_MARKET,NONE,NO_STAKE,,,,,LOW,-42,LOW_FORECAST_CONFIDENCE,none,blocked by board or low confidence,DATED_INPUT_ONLY,NO,NO
2026-06-20,2026-06-20T22:16:01+01:00,3,1520735,Londrina,Athletic Club,NO_BET,CANCELLED_NO_BET,NO_CLEAR_STAT_MARKET,NONE,NO_STAKE,,,,,LOW,-42,LOW_FORECAST_CONFIDENCE,none,blocked by board or low confidence,DATED_INPUT_ONLY,NO,NO
2026-06-20,2026-06-20T22:16:01+01:00,4,1520739,Vila Nova,Nautico Recife,NO_BET,CANCELLED_NO_BET,NO_CLEAR_STAT_MARKET,NONE,NO_STAKE,,,,,LOW,-42,LOW_FORECAST_CONFIDENCE,none,blocked by board or low confidence,DATED_INPUT_ONLY,NO,NO
2026-06-20,2026-06-20T22:16:01+01:00,5,1522830,Banga,FK Zalgiris Vilnius,NO_BET,CANCELLED_NO_BET,NO_CLEAR_STAT_MARKET,NONE,NO_STAKE,,,,,LOW,-42,LOW_FORECAST_CONFIDENCE,none,blocked by board or low confidence,DATED_INPUT_ONLY,NO,NO
2026-06-20,2026-06-20T22:16:01+01:00,6,1522828,Panevėžys,Šiauliai,NO_BET,CANCELLED_NO_BET,NO_CLEAR_STAT_MARKET,NONE,NO_STAKE,,,,,LOW,-42,LOW_FORECAST_CONFIDENCE,none,blocked by board or low confidence,DATED_INPUT_ONLY,NO,NO
2026-06-20,2026-06-20T22:16:01+01:00,7,1522829,TransINVEST Vilnius,Kauno Žalgiris,NO_BET,CANCELLED_NO_BET,NO_CLEAR_STAT_MARKET,NONE,NO_STAKE,,,,,LOW,-42,LOW_FORECAST_CONFIDENCE,none,blocked by board or low confidence,DATED_INPUT_ONLY,NO,NO
2026-06-20,2026-06-20T22:16:01+01:00,8,1526855,Anápolis,AO Itabaiana,NO_BET,CANCELLED_NO_BET,NO_CLEAR_STAT_MARKET,NONE,NO_STAKE,,,,,LOW,-42,LOW_FORECAST_CONFIDENCE,none,blocked by board or low confidence,DATED_INPUT_ONLY,NO,NO
2026-06-20,2026-06-20T22:16:01+01:00,9,1526857,Botafogo PB,Volta Redonda,NO_BET,CANCELLED_NO_BET,NO_CLEAR_STAT_MARKET,NONE,NO_STAKE,,,,,LOW,-42,LOW_FORECAST_CONFIDENCE,none,blocked by board or low confidence,DATED_INPUT_ONLY,NO,NO
2026-06-20,2026-06-20T22:16:01+01:00,10,1526863,Santa Cruz,Ypiranga-RS,NO_BET,CANCELLED_NO_BET,NO_CLEAR_STAT_MARKET,NONE,NO_STAKE,,,,,LOW,-42,LOW_FORECAST_CONFIDENCE,none,blocked by board or low confidence,DATED_INPUT_ONLY,NO,NO
