target_date,generated_at,section,status,detail,next_action,auto_apply,production_change
2026-06-08,2026-06-09T21:15:03+01:00,operator_gate,NONE,action=NONE; final=NO_OPERATOR_ACTION; risk=NONE; health=ATTENTION; board_rows=1,Use this as the first read; never override BROKEN/NO_BET gates.,NO,NO
2026-06-08,2026-06-09T21:15:03+01:00,executable_prematch,NONE,no prematch executable rows,"Only rows here can be discussed as prematch executable, still manual-only.",NO,NO
2026-06-08,2026-06-09T21:15:03+01:00,live_only,NONE,no live-only rows,Wait for live trigger confirmation; no chase outside window.,NO,NO
2026-06-08,2026-06-09T21:15:03+01:00,watchlist,NONE,no watchlist rows,Observation only unless promoted by later gates.,NO,NO
2026-06-08,2026-06-09T21:15:03+01:00,no_bet,ROWS=1,count=1; top=#1 | NO_BET | Almeria vs Castellón | market=NO_CLEAR_STAT_MARKET | stake=NO_STAKE | permission=NO | conf=LOW | score=-34,Do not fill ranking from blocked rows.,NO,NO
2026-06-08,2026-06-09T21:15:03+01:00,api_coverage,OK,rows=1; source_guard=DATED_INPUT_ONLY; API_COVERAGE_GATE_V2=1; permission=NO=1; avg_coverage=UNKNOWN; warnings=LINEUPS_INACTIVE=1; LOW_LEAGUE_RELIABILITY=1; PARTIAL_RECENT_STATS=1; API_COVERAGE_UNKNOWN=1,Coverage gaps block promotion; do not infer missing data.,NO,NO
2026-06-08,2026-06-09T21:15:03+01:00,official_probable_lineups,OK,files=4; rows=73; statuses=UNKNOWN=1; LEARNING_ONLY=1; IMPORTED=6,Probables do not become official; quarantine/learning-only stays non-execution.,NO,NO
2026-06-08,2026-06-09T21:15:03+01:00,source_reliability_governor,ADVISORY_ONLY,sources=15; verdicts=HOLD_SAMPLE=15; sample_gates=INSUFFICIENT_SAMPLE=15; actions=KEEP_ACTIVE_COLLECT_MORE_DATA=15,Advisory only; no automatic source weight changes.,NO,NO
2026-06-08,2026-06-09T21:15:03+01:00,automation_health,ATTENTION,system_status=ATTENTION; components=11; severity=OK=3; WARN=1; INFO=7; status_counts=OK=4; WAITING_OR_NOT_RUN=3; CONFIG_EXPECTED=4,"If BROKEN, fix workflow/input before talking picks.",NO,NO
2026-06-08,2026-06-09T21:15:03+01:00,next_triggers_rechecks,DIAGNOSTIC,triggers=3,Use scheduled workflows or trigger bridge; no betting execution.,NO,NO
2026-06-08,2026-06-09T21:15:01+01:00,upstream_board_input_diagnostic,UPSTREAM_MISSING,first_empty_required_component=context_matrix; forecast_rows=1; translator_rows=1; board_rows=1,Build missing required upstream component first: context_matrix.,NO,NO
2026-06-08,2026-06-09T21:15:01+01:00,real_shortlist_recovery_diagnostic,REAL_CANDIDATES_AVAILABLE,root_cause=real shortlist or bets rows exist; root_scored_same_day_rows=0; real_shortlist_rows=1; real_bet_rows=0; proxy_rows=3,Use normal gates; do not rely on proxy bridge unless real rows fail downstream.,NO,NO
2026-06-08,2026-06-09T21:15:01+01:00,local_raw_fixture_discovery,LOCAL_RAW_CANDIDATES_FOUND,files_scanned=1554; accepted_rows=71; rejected_rows=290,"Review accepted rows, then feed normal scoring gates.",NO,NO
2026-06-08,2026-06-09T21:15:03+01:00,raw_candidate_trust_gate,TRUSTED_RAW_SOURCE=44; QUARANTINE_REVIEW=27,rows_reviewed=71; trusted_rows=44; blocked_rows=0; quarantine_rows=27,Only TRUSTED_RAW_SOURCE rows may be considered for scoring; quarantine/rejected rows remain diagnostic only.,NO,NO
2026-06-08,2026-06-09T21:15:03+01:00,trusted_raw_candidate_promotion_gate,TRUSTED_SOURCE_BUT_NO_SCORED_ROW=44; NOT_TRUSTED_NO_PROMOTION=27,rows_reviewed=71; promoted_rows=0; blocked_rows=0; quarantine_rows=44,No promotion unless TRUSTED_RAW_SOURCE has non-blocked scored data. Keep No Bet for blocked rows.,NO,NO
2026-06-08,2026-06-09T21:15:03+01:00,scoring_gap_explainer,MISSING_SCORED_ROW=44; NOT_TRUSTED_SKIPPED=27,missing_scored_rows=44; no_data_blocked_rows=0; not_trusted_rows=27; promoted_rows=0,Repair scoring/enrichment for trusted raw candidates; no market discussion until rows are scored and non-blocked.,NO,NO
2026-06-08,2026-06-09T21:15:03+01:00,trusted_raw_scoring_queue,P1_TRUSTED_MISSING_SCORING=40; P2_LOW_COVERAGE_SCORING=4,queue_rows=44; priority_counts=P1_TRUSTED_MISSING_SCORING=40; P2_LOW_COVERAGE_SCORING=4; scoring_needed_counts=YES=44,Use this queue as the explicit input list for a future scoring/enrichment repair stage. Do not create picks from queue rows.,NO,NO
2026-06-08,2026-06-09T21:15:03+01:00,queue_to_enrichment_dry_run,DRY_RUN_ONLY_NO_API_CALLS=44,rows_planned=44; risk_label_counts=MEDIUM=38; HIGH_LOW_COVERAGE=4; HIGH_CONTEXT_VOLATILITY=2; estimated_units=221; api_calls_executed=NO,Review dry-run plan and explicitly approve any future enrichment/API stage. No calls executed here.,NO,NO
2026-06-08,2026-06-09T21:15:03+01:00,enrichment_cost_approval_gate,WAIT_FOR_MANUAL_APPROVAL,estimated_call_units=221; approval_required=YES; api_calls_allowed=NO; api_calls_executed=NO,UNKNOWN,NO,NO
2026-06-08,2026-06-09T21:15:03+01:00,daily_board_self_heal,NO_ACTION,promoted_rows=0; board_rows_written=0; reason=daily board already has rows,UNKNOWN,NO,NO
2026-06-08,2026-06-09T21:15:03+01:00,api_quota_aware_enrichment_gate,AUTO_ENRICHMENT_ALLOWED_LIMITED,plan=API-Football Pro; rows=44; reserved=194; allowed=YES_LIMITED; executed=NO,Run a separate enrichment executor only for allowlisted rows; do not create picks from enrichment alone.,NO,NO
2026-06-08,2026-06-09T21:15:03+01:00,date_coherence_guard,OK,board_status=daily_board_md=OK; daily_board_csv=OK; mismatch_count=0; missing_core_count=0; trigger_date_counts=2026-06-08=2,All dated artifacts/triggers reviewed by guard are coherent.,NO,NO
2026-06-08,2026-06-09T21:15:03+01:00,empty_diagnostic_board_state_normalizer,REVIEW_EMPTY_DIAGNOSTIC_BOARD,operator_state=EMPTY_REVIEW_REQUIRED; promoted_rows=0; queue_rows=44; diagnostic_no_bet_rows=0,Review date guard and board diagnostics before market discussion.,NO,NO
2026-06-08,2026-06-09T21:15:03+01:00,active_api_policy,MAX_COVERAGE,allowed=YES_MAX_COVERAGE_POLICY; scoring=35; coverage=4; diagnostic=5,MAX_COVERAGE is the active API policy. Legacy cost/quota/allowlist gates are informational and cannot override the active policy. No external calls are executed by this integration.,NO,NO
