target_date,generated_at,sequence_rank,phase_order,phase_name,source_issue_type,severity,fixture_id,market_primary,sequence_state,sequence_reason,recommended_command,can_run_now,auto_run,production_change,guardrail_status
2026-05-24,2026-05-24T10:25:03+01:00,1,1,PRELOCK_CHECK,PRELOCK_OPEN_ITEM,P2,1379344,BTTS_YES,WAIT_FOR_WINDOW_OR_OPERATOR,Prelock/lineup timing must be checked before any serious execution.,"gh workflow run vsigma_production.yml -f mode=prelock -f date=""2026-05-24""",NO,NO,NO,EVIDENCE_CLOSURE_SEQUENCE_ONLY_NO_AUTO_RUN
2026-05-24,2026-05-24T10:25:03+01:00,2,1,PRELOCK_CHECK,PRELOCK_OPEN_ITEM,P2,1392205,OVER_2_5,WAIT_FOR_WINDOW_OR_OPERATOR,Prelock/lineup timing must be checked before any serious execution.,"gh workflow run vsigma_production.yml -f mode=prelock -f date=""2026-05-24""",NO,NO,NO,EVIDENCE_CLOSURE_SEQUENCE_ONLY_NO_AUTO_RUN
2026-05-24,2026-05-24T10:25:03+01:00,3,1,PRELOCK_CHECK,PRELOCK_OPEN_ITEM,P2,1392207,OVER_2_5,WAIT_FOR_WINDOW_OR_OPERATOR,Prelock/lineup timing must be checked before any serious execution.,"gh workflow run vsigma_production.yml -f mode=prelock -f date=""2026-05-24""",NO,NO,NO,EVIDENCE_CLOSURE_SEQUENCE_ONLY_NO_AUTO_RUN
2026-05-24,2026-05-24T10:25:03+01:00,4,1,PRELOCK_CHECK,PRELOCK_OPEN_ITEM,P2,1504827,OVER_1_5,WAIT_FOR_WINDOW_OR_OPERATOR,Prelock/lineup timing must be checked before any serious execution.,"gh workflow run vsigma_production.yml -f mode=prelock -f date=""2026-05-24""",NO,NO,NO,EVIDENCE_CLOSURE_SEQUENCE_ONLY_NO_AUTO_RUN
2026-05-24,2026-05-24T10:25:03+01:00,5,1,PRELOCK_CHECK,PRELOCK_OPEN_ITEM,P2,1537007,HOME_WIN,WAIT_FOR_WINDOW_OR_OPERATOR,Prelock/lineup timing must be checked before any serious execution.,"gh workflow run vsigma_production.yml -f mode=prelock -f date=""2026-05-24""",NO,NO,NO,EVIDENCE_CLOSURE_SEQUENCE_ONLY_NO_AUTO_RUN
2026-05-24,2026-05-24T10:25:03+01:00,6,1,PRELOCK_CHECK,PRELOCK_OPEN_ITEM,P2,1545796,OVER_1_5,WAIT_FOR_WINDOW_OR_OPERATOR,Prelock/lineup timing must be checked before any serious execution.,"gh workflow run vsigma_production.yml -f mode=prelock -f date=""2026-05-24""",NO,NO,NO,EVIDENCE_CLOSURE_SEQUENCE_ONLY_NO_AUTO_RUN
2026-05-24,2026-05-24T10:25:03+01:00,7,2,POST_RESULTS,OPEN_RESULT_STATUS,P2,,UNKNOWN,WAIT_FOR_FIXTURES_FINISHED,Post results can only run safely after matches are finished.,"gh workflow run vsigma_production.yml -f mode=post -f date=""2026-05-24""",NO,NO,NO,EVIDENCE_CLOSURE_SEQUENCE_ONLY_NO_AUTO_RUN
2026-05-24,2026-05-24T10:25:03+01:00,8,2,POST_RESULTS,OPEN_RESULT_STATUS,P2,1392205,OVER_2_5,WAIT_FOR_FIXTURES_FINISHED,Post results can only run safely after matches are finished.,"gh workflow run vsigma_production.yml -f mode=post -f date=""2026-05-24""",NO,NO,NO,EVIDENCE_CLOSURE_SEQUENCE_ONLY_NO_AUTO_RUN
2026-05-24,2026-05-24T10:25:03+01:00,9,2,POST_RESULTS,OPEN_RESULT_STATUS,P2,1392205,OVER_1_5,WAIT_FOR_FIXTURES_FINISHED,Post results can only run safely after matches are finished.,"gh workflow run vsigma_production.yml -f mode=post -f date=""2026-05-24""",NO,NO,NO,EVIDENCE_CLOSURE_SEQUENCE_ONLY_NO_AUTO_RUN
2026-05-24,2026-05-24T10:25:03+01:00,10,2,POST_RESULTS,OPEN_RESULT_STATUS,P2,1392207,OVER_2_5,WAIT_FOR_FIXTURES_FINISHED,Post results can only run safely after matches are finished.,"gh workflow run vsigma_production.yml -f mode=post -f date=""2026-05-24""",NO,NO,NO,EVIDENCE_CLOSURE_SEQUENCE_ONLY_NO_AUTO_RUN
