target_date,generated_at,sequence_rank,phase_order,phase_name,source_issue_type,severity,fixture_id,market_primary,sequence_state,sequence_reason,recommended_command,can_run_now,auto_run,production_change,guardrail_status
2026-05-23,2026-05-23T09:34:11+01:00,1,1,PRELOCK_CHECK,PRELOCK_OPEN_ITEM,P2,1378234,AWAY_WIN,WAIT_FOR_WINDOW_OR_OPERATOR,Prelock/lineup timing must be checked before any serious execution.,"gh workflow run vsigma_production.yml -f mode=prelock -f date=""2026-05-23""",NO,NO,NO,EVIDENCE_CLOSURE_SEQUENCE_ONLY_NO_AUTO_RUN
2026-05-23,2026-05-23T09:34:11+01:00,2,1,PRELOCK_CHECK,PRELOCK_OPEN_ITEM,P2,1378237,HOME_WIN,WAIT_FOR_WINDOW_OR_OPERATOR,Prelock/lineup timing must be checked before any serious execution.,"gh workflow run vsigma_production.yml -f mode=prelock -f date=""2026-05-23""",NO,NO,NO,EVIDENCE_CLOSURE_SEQUENCE_ONLY_NO_AUTO_RUN
2026-05-23,2026-05-23T09:34:11+01:00,3,1,PRELOCK_CHECK,PRELOCK_OPEN_ITEM,P2,1494182,OVER_1_5,WAIT_FOR_WINDOW_OR_OPERATOR,Prelock/lineup timing must be checked before any serious execution.,"gh workflow run vsigma_production.yml -f mode=prelock -f date=""2026-05-23""",NO,NO,NO,EVIDENCE_CLOSURE_SEQUENCE_ONLY_NO_AUTO_RUN
2026-05-23,2026-05-23T09:34:11+01:00,4,1,PRELOCK_CHECK,PRELOCK_OPEN_ITEM,P2,1504822,OVER_1_5,WAIT_FOR_WINDOW_OR_OPERATOR,Prelock/lineup timing must be checked before any serious execution.,"gh workflow run vsigma_production.yml -f mode=prelock -f date=""2026-05-23""",NO,NO,NO,EVIDENCE_CLOSURE_SEQUENCE_ONLY_NO_AUTO_RUN
2026-05-23,2026-05-23T09:34:11+01:00,5,2,POST_RESULTS,OPEN_RESULT_STATUS,P2,,UNKNOWN,WAIT_FOR_FIXTURES_FINISHED,Post results can only run safely after matches are finished.,"gh workflow run vsigma_production.yml -f mode=post -f date=""2026-05-23""",NO,NO,NO,EVIDENCE_CLOSURE_SEQUENCE_ONLY_NO_AUTO_RUN
2026-05-23,2026-05-23T09:34:11+01:00,6,2,POST_RESULTS,OPEN_RESULT_STATUS,P2,1494182,OVER_1_5,WAIT_FOR_FIXTURES_FINISHED,Post results can only run safely after matches are finished.,"gh workflow run vsigma_production.yml -f mode=post -f date=""2026-05-23""",NO,NO,NO,EVIDENCE_CLOSURE_SEQUENCE_ONLY_NO_AUTO_RUN
2026-05-23,2026-05-23T09:34:11+01:00,7,2,POST_RESULTS,OPEN_RESULT_STATUS,P2,1494182.0,OVER_1_5,WAIT_FOR_FIXTURES_FINISHED,Post results can only run safely after matches are finished.,"gh workflow run vsigma_production.yml -f mode=post -f date=""2026-05-23""",NO,NO,NO,EVIDENCE_CLOSURE_SEQUENCE_ONLY_NO_AUTO_RUN
2026-05-23,2026-05-23T09:34:11+01:00,8,2,POST_RESULTS,OPEN_RESULT_STATUS,P2,1504822,OVER_1_5,WAIT_FOR_FIXTURES_FINISHED,Post results can only run safely after matches are finished.,"gh workflow run vsigma_production.yml -f mode=post -f date=""2026-05-23""",NO,NO,NO,EVIDENCE_CLOSURE_SEQUENCE_ONLY_NO_AUTO_RUN
2026-05-23,2026-05-23T09:34:11+01:00,9,2,POST_RESULTS,OPEN_RESULT_STATUS,P2,1504822.0,OVER_1_5,WAIT_FOR_FIXTURES_FINISHED,Post results can only run safely after matches are finished.,"gh workflow run vsigma_production.yml -f mode=post -f date=""2026-05-23""",NO,NO,NO,EVIDENCE_CLOSURE_SEQUENCE_ONLY_NO_AUTO_RUN
2026-05-23,2026-05-23T09:34:11+01:00,10,2,POST_RESULTS,NO_SIGNAL,P3,,UNKNOWN,WAIT_FOR_FIXTURES_FINISHED,Post results can only run safely after matches are finished.,"gh workflow run vsigma_production.yml -f mode=post -f date=""2026-05-23""",NO,NO,NO,EVIDENCE_CLOSURE_SEQUENCE_ONLY_NO_AUTO_RUN
2026-05-23,2026-05-23T09:34:11+01:00,11,2,POST_RESULTS,UNKNOWN_FAMILY,P3,,UNKNOWN,WAIT_FOR_FIXTURES_FINISHED,Post results can only run safely after matches are finished.,"gh workflow run vsigma_production.yml -f mode=post -f date=""2026-05-23""",NO,NO,NO,EVIDENCE_CLOSURE_SEQUENCE_ONLY_NO_AUTO_RUN
2026-05-23,2026-05-23T09:34:11+01:00,12,2,POST_RESULTS,UNKNOWN_RISK,P3,,UNKNOWN,WAIT_FOR_FIXTURES_FINISHED,Post results can only run safely after matches are finished.,"gh workflow run vsigma_production.yml -f mode=post -f date=""2026-05-23""",NO,NO,NO,EVIDENCE_CLOSURE_SEQUENCE_ONLY_NO_AUTO_RUN
2026-05-23,2026-05-23T09:34:11+01:00,13,2,POST_RESULTS,NO_SIGNAL,P3,1494182.0,OVER_1_5,WAIT_FOR_FIXTURES_FINISHED,Post results can only run safely after matches are finished.,"gh workflow run vsigma_production.yml -f mode=post -f date=""2026-05-23""",NO,NO,NO,EVIDENCE_CLOSURE_SEQUENCE_ONLY_NO_AUTO_RUN
2026-05-23,2026-05-23T09:34:11+01:00,14,2,POST_RESULTS,NO_SIGNAL,P3,1504822.0,OVER_1_5,WAIT_FOR_FIXTURES_FINISHED,Post results can only run safely after matches are finished.,"gh workflow run vsigma_production.yml -f mode=post -f date=""2026-05-23""",NO,NO,NO,EVIDENCE_CLOSURE_SEQUENCE_ONLY_NO_AUTO_RUN
2026-05-23,2026-05-23T09:34:11+01:00,15,3,LEARNING_REBUILD,MISSING_IDENTITY,P2,,UNKNOWN,WAIT_FOR_POST_RESULTS,Learning rebuild should happen after post-result labeling.,python scripts/build_learning_ledger.py --date 2026-05-23 --timezone Atlantic/Canary,NO,NO,NO,EVIDENCE_CLOSURE_SEQUENCE_ONLY_NO_AUTO_RUN
2026-05-23,2026-05-23T09:34:11+01:00,16,3,LEARNING_REBUILD,DUPLICATE_LEARNING_ROW,P3,1494182,OVER_1_5,WAIT_FOR_POST_RESULTS,Learning rebuild should happen after post-result labeling.,python scripts/build_learning_ledger.py --date 2026-05-23 --timezone Atlantic/Canary,NO,NO,NO,EVIDENCE_CLOSURE_SEQUENCE_ONLY_NO_AUTO_RUN
2026-05-23,2026-05-23T09:34:11+01:00,17,3,LEARNING_REBUILD,DUPLICATE_LEARNING_ROW,P3,1504822,OVER_1_5,WAIT_FOR_POST_RESULTS,Learning rebuild should happen after post-result labeling.,python scripts/build_learning_ledger.py --date 2026-05-23 --timezone Atlantic/Canary,NO,NO,NO,EVIDENCE_CLOSURE_SEQUENCE_ONLY_NO_AUTO_RUN
2026-05-23,2026-05-23T09:34:11+01:00,18,4,QUALITY_REVIEW,FOLLOWUP,P3,,UNKNOWN,WAIT_FOR_LEARNING_REBUILD,Quality review should be rerun after learning evidence is rebuilt.,"gh workflow run vsigma_data_quality_governor.yml -f date=""2026-05-23""",NO,NO,NO,EVIDENCE_CLOSURE_SEQUENCE_ONLY_NO_AUTO_RUN
2026-05-23,2026-05-23T09:34:11+01:00,19,5,READINESS_REVIEW,FOLLOWUP,P3,,UNKNOWN,WAIT_FOR_QUALITY_REVIEW,Readiness should be reviewed only after data quality is refreshed.,"gh workflow run vsigma_pattern_promotion_readiness.yml -f date=""2026-05-23""",NO,NO,NO,EVIDENCE_CLOSURE_SEQUENCE_ONLY_NO_AUTO_RUN
