target_date,generated_at,readiness_rank,pattern_key,source_type,proposal_status,promotion_decision,closed_sample_count,wins,losses,sample_count,data_quality_blocked,readiness_state,readiness_reason,next_action,auto_apply,production_change,guardrail_status
2026-06-19,2026-06-19T06:20:12+01:00,1,UNRESOLVED_RESULTS,DATA_QUALITY_PROPOSAL,PROPOSAL_ONLY,,0,0,0,14,YES,BLOCKED_BY_DATA_QUALITY,P1/P2 data-quality issues block model promotion and threshold/calibration changes.,RESOLVE_DATA_QUALITY_FIRST,NO,NO,PROMOTION_READINESS_REVIEW_ONLY_NO_AUTO_CHANGE
2026-06-19,2026-06-19T06:20:12+01:00,2,UNKNOWN_MARKET::UNKNOWN_RISK,DATA_QUALITY_PROPOSAL,PROPOSAL_ONLY,,0,0,0,9,YES,BLOCKED_BY_DATA_QUALITY,P1/P2 data-quality issues block model promotion and threshold/calibration changes.,RESOLVE_DATA_QUALITY_FIRST,NO,NO,PROMOTION_READINESS_REVIEW_ONLY_NO_AUTO_CHANGE
2026-06-19,2026-06-19T06:20:12+01:00,3,UNRESOLVED::UNKNOWN_MARKET::UNKNOWN_RISK::NO_SIGNAL,DATA_QUALITY_PROPOSAL,PROPOSAL_ONLY,,0,0,0,8,YES,BLOCKED_BY_DATA_QUALITY,P1/P2 data-quality issues block model promotion and threshold/calibration changes.,RESOLVE_DATA_QUALITY_FIRST,NO,NO,PROMOTION_READINESS_REVIEW_ONLY_NO_AUTO_CHANGE
2026-06-19,2026-06-19T06:20:12+01:00,4,OVER_1_5::UNKNOWN_RISK,DATA_QUALITY_PROPOSAL,PROPOSAL_ONLY,,0,0,0,7,YES,BLOCKED_BY_DATA_QUALITY,P1/P2 data-quality issues block model promotion and threshold/calibration changes.,RESOLVE_DATA_QUALITY_FIRST,NO,NO,PROMOTION_READINESS_REVIEW_ONLY_NO_AUTO_CHANGE
2026-06-19,2026-06-19T06:20:12+01:00,5,UNRESOLVED::OVER_1_5::UNKNOWN_RISK::NO_SIGNAL,DATA_QUALITY_PROPOSAL,PROPOSAL_ONLY,,0,0,0,7,YES,BLOCKED_BY_DATA_QUALITY,P1/P2 data-quality issues block model promotion and threshold/calibration changes.,RESOLVE_DATA_QUALITY_FIRST,NO,NO,PROMOTION_READINESS_REVIEW_ONLY_NO_AUTO_CHANGE
2026-06-19,2026-06-19T06:20:12+01:00,6,OVER_1_5::FAILURE_MODE_LOW_CONVERSION,MODEL_SHADOW_PROPOSAL,SHADOW_CANDIDATE_REQUIRED,NOT_READY_SAMPLE_TOO_SMALL,1,1,0,5,YES,BLOCKED_BY_DATA_QUALITY,P1/P2 data-quality issues block model promotion and threshold/calibration changes.,RESOLVE_DATA_QUALITY_FIRST,NO,NO,PROMOTION_READINESS_REVIEW_ONLY_NO_AUTO_CHANGE
2026-06-19,2026-06-19T06:20:12+01:00,7,WAITING_PRELOCK,OPERATIONAL_PROPOSAL,PROPOSAL_ONLY,,0,0,0,4,YES,BLOCKED_BY_DATA_QUALITY,P1/P2 data-quality issues block model promotion and threshold/calibration changes.,RESOLVE_DATA_QUALITY_FIRST,NO,NO,PROMOTION_READINESS_REVIEW_ONLY_NO_AUTO_CHANGE
2026-06-19,2026-06-19T06:20:12+01:00,8,WAITING_PRELOCK::OVER_1_5::FAILURE_MODE_LOW_CONVERSION::WAIT_FOR_POST_RESULTS,MODEL_SHADOW_PROPOSAL,SHADOW_CANDIDATE_REQUIRED,,0,0,0,3,YES,BLOCKED_BY_DATA_QUALITY,P1/P2 data-quality issues block model promotion and threshold/calibration changes.,RESOLVE_DATA_QUALITY_FIRST,NO,NO,PROMOTION_READINESS_REVIEW_ONLY_NO_AUTO_CHANGE
2026-06-19,2026-06-19T06:20:12+01:00,9,OVER_2_5::UNKNOWN_RISK,DATA_QUALITY_PROPOSAL,PROPOSAL_ONLY,,0,0,0,2,YES,BLOCKED_BY_DATA_QUALITY,P1/P2 data-quality issues block model promotion and threshold/calibration changes.,RESOLVE_DATA_QUALITY_FIRST,NO,NO,PROMOTION_READINESS_REVIEW_ONLY_NO_AUTO_CHANGE
2026-06-19,2026-06-19T06:20:12+01:00,10,UNRESOLVED::OVER_2_5::UNKNOWN_RISK::NO_SIGNAL,DATA_QUALITY_PROPOSAL,PROPOSAL_ONLY,,0,0,0,2,YES,BLOCKED_BY_DATA_QUALITY,P1/P2 data-quality issues block model promotion and threshold/calibration changes.,RESOLVE_DATA_QUALITY_FIRST,NO,NO,PROMOTION_READINESS_REVIEW_ONLY_NO_AUTO_CHANGE
2026-06-19,2026-06-19T06:20:12+01:00,11,EXPIRED_PRELOCK,OPERATIONAL_PROPOSAL,MONITOR_ONLY,,0,0,0,1,YES,BLOCKED_BY_DATA_QUALITY,P1/P2 data-quality issues block model promotion and threshold/calibration changes.,RESOLVE_DATA_QUALITY_FIRST,NO,NO,PROMOTION_READINESS_REVIEW_ONLY_NO_AUTO_CHANGE
