target_date,generated_at,component,path,exists,row_count,date_status,decision_counts,quality_counts,status,detail,auto_apply,production_change
2026-06-10,2026-06-10T23:30:27+01:00,real_objective_context_gate,data/processed/today/2026-06-10/vsigma_real_objective_context_gate.csv,true,1,OK,none,none,OK,file has rows and passed basic diagnostic checks,NO,NO
2026-06-10,2026-06-10T23:30:27+01:00,objective_availability_gate,data/processed/today/2026-06-10/vsigma_objective_availability_gate.csv,true,1,OK,none,gate_decision:WAIT_PRELOCK=1,OK,file has rows and passed basic diagnostic checks,NO,NO
2026-06-10,2026-06-10T23:30:27+01:00,context_adjusted_final_picks,data/processed/today/2026-06-10/vsigma_context_adjusted_final_picks.csv,true,1,OK,none,none,OK,file has rows and passed basic diagnostic checks,NO,NO
2026-06-10,2026-06-10T23:30:27+01:00,context_matrix,data/processed/today/2026-06-10/vsigma_context_matrix.csv,false,0,MISSING,none,none,MISSING_REQUIRED,required upstream file is missing,NO,NO
2026-06-10,2026-06-10T23:30:27+01:00,context_matrix_portfolio,data/processed/today/2026-06-10/vsigma_context_matrix_portfolio.csv,false,0,MISSING,none,none,MISSING_REQUIRED,required upstream file is missing,NO,NO
2026-06-10,2026-06-10T23:30:27+01:00,match_stat_forecasts,data/processed/today/2026-06-10/vsigma_match_stat_forecasts.csv,true,2,OK,none,forecast_confidence:MEDIUM=1;LOW=1 | source_guard:DATED_INPUT_ONLY=2 | forecast_warning:LINEUPS_INACTIVE=1;PARTIAL_RECENT_STATS; SHOT_SAMPLE_WEAK; CORNER_SAMPLE_WEAK; CARD_SAMPLE_WEAK=1,OK,file has rows and passed basic diagnostic checks,NO,NO
2026-06-10,2026-06-10T23:30:27+01:00,forecast_market_translator,data/processed/today/2026-06-10/vsigma_forecast_market_translator.csv,true,2,OK,portfolio_status:LIVE_ONLY_OR_SYMBOLIC=1;NO_PORTFOLIO_CONTEXT=1 | execution_permission:LIVE_ONLY=1;NO_BET=1,forecast_confidence:MEDIUM=1;LOW=1 | context_level:L7_SOFT_DOWN=1;BLANK=1 | source_guard:DATED_INPUT_ONLY=2 | kill_switch:NONE=1;LOW_FORECAST_CONFIDENCE=1 | forecast_warning:LINEUPS_INACTIVE=1;PARTIAL_RECENT_STATS; SHOT_SAMPLE_WEAK; CORNER_SAMPLE_WEAK; CARD_SAMPLE_WEAK=1,OK,file has rows and passed basic diagnostic checks,NO,NO
2026-06-10,2026-06-10T23:30:27+01:00,daily_execution_board,data/processed/today/2026-06-10/vsigma_daily_execution_board.csv,true,2,OK,final_decision:LIVE_ONLY=1;NO_BET=1 | board_bucket:LIVE_CANDIDATE=1;BLOCKED=1 | portfolio_status:LIVE_ONLY_OR_SYMBOLIC; EARLY_WATCH_MORE_DATA_REQUIRED; WAIT_LINEUPS_OR_LIVE_ONLY=1;NO_PORTFOLIO_CONTEXT=1 | execution_permission:LIVE_ONLY=1;NO=1,forecast_confidence:MEDIUM=1;LOW=1 | context_level:L7_SOFT_DOWN=1;BLANK=1 | source_guard:DATED_INPUT_ONLY; API_COVERAGE_GATE_V2=2 | kill_switch:NONE=1;LOW_FORECAST_CONFIDENCE=1 | forecast_warning:LINEUPS_INACTIVE; API_EARLY_LOW_SUPPORT; API_LINEUPS_MISSING=1;PARTIAL_RECENT_STATS; SHOT_SAMPLE_WEAK; CORNER_SAMPLE_WEAK; CARD_SAMPLE_WEAK; API_COVERAGE_UNKNOWN=1,OK,file has rows and passed basic diagnostic checks,NO,NO
2026-06-10,2026-06-10T23:30:27+01:00,fixture_api_coverage_matrix,data/processed/today/2026-06-10/vsigma_fixture_api_coverage_matrix_v3.csv,false,0,MISSING,none,none,MISSING_OPTIONAL,optional upstream file is missing,NO,NO
2026-06-10,2026-06-10T23:30:27+01:00,probable_lineup_consensus,data/processed/today/2026-06-10/vsigma_probable_lineup_consensus.csv,true,1,OK,none,source_guard:fixtures=matches_vsigma_scored_v3.csv; probable_sources=NO_SOURCE_FILE=1,OK,file has rows and passed basic diagnostic checks,NO,NO
