target_date,generated_at,rank,fixture_id,home_team,away_team,base_decision,recheck_decision,primary_market,secondary_market,stake_band,lineup_status,minutes_to_kickoff,availability_status,gate_decision,forecast_confidence,translation_score,kill_switch,next_check,operator_note,source_guard,auto_apply,production_change
2026-05-31,2026-05-31T18:43:59+01:00,1,1392217,Cordoba,Huesca,LIVE_ONLY,LIVE_ONLY_WAIT_TRIGGER,OVER_1_5_SUPPORTED,OVER_2_5_REVIEW,NO_STAKE_OR_SYMBOLIC,WAIT_PRELOCK,633.49,AVAILABILITY_UNKNOWN_OR_CLEAN,WAIT_PRELOCK,MEDIUM,36,NONE,wait for live trigger,prematch serious stake blocked,DATED_INPUT_ONLY,NO,NO
2026-05-31,2026-05-31T18:43:59+01:00,2,1492282,RB Bragantino,Internacional,LIVE_ONLY,LIVE_ONLY_WAIT_TRIGGER,OVER_1_5_SUPPORTED,BTTS_OR_OVER_1_5_REVIEW,NO_STAKE_PRELOCK,WAIT_PRELOCK,333.43,AVAILABILITY_ELEVATED_BOTH,WAIT_PRELOCK,MEDIUM,17,NONE,wait for live trigger,prematch serious stake blocked,DATED_INPUT_ONLY,NO,NO
2026-05-31,2026-05-31T18:43:59+01:00,3,1392220,Almeria,Valladolid,LIVE_ONLY,LIVE_ONLY_WAIT_TRIGGER,OVER_1_5_SUPPORTED,OVER_2_5_REVIEW,NO_STAKE_OR_SYMBOLIC,WAIT_PRELOCK,483.51,AVAILABILITY_UNKNOWN_OR_CLEAN,WAIT_PRELOCK,MEDIUM,12,NONE,wait for live trigger,prematch serious stake blocked,DATED_INPUT_ONLY,NO,NO
2026-05-31,2026-05-31T18:43:59+01:00,4,1492289,Vasco DA Gama,Atletico-MG,LIVE_ONLY,LIVE_ONLY_WAIT_TRIGGER,BTTS_YES_REVIEW,OVER_1_5_REVIEW,NO_STAKE_PRELOCK,WAIT_PRELOCK,633.42,AVAILABILITY_REPORTED_ADVISORY,WAIT_PRELOCK,MEDIUM,11,NONE,wait for live trigger,prematch serious stake blocked,DATED_INPUT_ONLY,NO,NO
2026-05-31,2026-05-31T18:43:59+01:00,5,1392226,Leganes,Mirandes,STAT_WATCH_ONLY,STAT_WATCH_ONLY,OVER_1_5_SUPPORTED,OVER_2_5_REVIEW,NO_STAKE_OR_SYMBOLIC,,,,,MEDIUM,53,NO_PORTFOLIO_CONTEXT,rerun full chain if promoted,stat signal lacks portfolio context,DATED_INPUT_ONLY,NO,NO
2026-05-31,2026-05-31T18:43:59+01:00,6,1392216,Zaragoza,Malaga,STAT_WATCH_ONLY,STAT_WATCH_ONLY,OVER_1_5_SUPPORTED,BTTS_OR_OVER_1_5_REVIEW,NO_STAKE_PRELOCK,,,,,MEDIUM,53,NO_PORTFOLIO_CONTEXT,rerun full chain if promoted,stat signal lacks portfolio context,DATED_INPUT_ONLY,NO,NO
2026-05-31,2026-05-31T18:43:59+01:00,7,1494192,Vasteras SK FK,IFK Goteborg,STAT_WATCH_ONLY,STAT_WATCH_ONLY,OVER_1_5_SUPPORTED,OVER_2_5_REVIEW,NO_STAKE_PRELOCK,,,,,MEDIUM,37,NO_PORTFOLIO_CONTEXT,rerun full chain if promoted,stat signal lacks portfolio context,DATED_INPUT_ONLY,NO,NO
2026-05-31,2026-05-31T18:43:59+01:00,8,1392219,Racing Santander,Cadiz,STAT_WATCH_ONLY,STAT_WATCH_ONLY,OVER_1_5_SUPPORTED,OVER_2_5_REVIEW,NO_STAKE_OR_SYMBOLIC,,,,,MEDIUM,32,NO_PORTFOLIO_CONTEXT,rerun full chain if promoted,stat signal lacks portfolio context,DATED_INPUT_ONLY,NO,NO
2026-05-31,2026-05-31T18:43:59+01:00,9,1392221,Castellón,Eibar,STAT_WATCH_ONLY,STAT_WATCH_ONLY,OVER_1_5_SUPPORTED,BTTS_OR_OVER_1_5_REVIEW,NO_STAKE_OR_SYMBOLIC,,,,,MEDIUM,31,NO_PORTFOLIO_CONTEXT,rerun full chain if promoted,stat signal lacks portfolio context,DATED_INPUT_ONLY,NO,NO
2026-05-31,2026-05-31T18:43:59+01:00,10,1494188,BK Hacken,Hammarby FF,NO_BET_OR_WATCH,NO_BET_OR_WATCH,OVER_1_5_SUPPORTED,OVER_2_5_REVIEW,NO_STAKE_PRELOCK,,,,,MEDIUM,21,NO_PORTFOLIO_CONTEXT,watch only,weak watch state,DATED_INPUT_ONLY,NO,NO
