target_date,fixture_id,league,home_team,away_team,market_primary,experiment_id,source_candidate_version,pre_price,prelock_price,close_proxy_price,clv_delta,clv_percent,clv_direction,clv_interpretation,result,profit_units,snapshot_rebuild_mode,true_pre_snapshot_available_flag,clv_usable_for_threshold_calibration_flag,source_snapshot_stage,source_snapshot_note
2026-05-23,1378234,Serie A,Bologna,Inter,AWAY_WIN,DEEP_ANALYSIS_CANDIDATES,DEEP_ANALYSIS_BET,2.18,,,,,CLV_UNAVAILABLE,CLV unavailable: missing close-proxy price.,,,CANONICAL_CAPTURED,1,0,PRE,Captured by odds snapshot pipeline.
2026-05-23,1378234,Serie A,Bologna,Inter,AWAY_WIN,OFFICIAL_BASELINE,EXECUTION_SHORTLIST;OFFICIAL_RESULTS,2.18,,2.18,0.0,0.0,CLV_FLAT,Price movement was flat within tolerance.,PENDING,,CANONICAL_CAPTURED,1,1,POST;PRE,Captured by odds snapshot pipeline.
2026-05-23,1378237,Serie A,Lazio,Pisa,HOME_WIN,DEEP_ANALYSIS_CANDIDATES,DEEP_ANALYSIS_BET,1.76,,,,,CLV_UNAVAILABLE,CLV unavailable: missing close-proxy price.,,,CANONICAL_CAPTURED,1,0,PRE,Captured by odds snapshot pipeline.
2026-05-23,1378237,Serie A,Lazio,Pisa,HOME_WIN,OFFICIAL_BASELINE,EXECUTION_SHORTLIST;OFFICIAL_RESULTS,1.76,,1.76,0.0,0.0,CLV_FLAT,Price movement was flat within tolerance.,PENDING,,CANONICAL_CAPTURED,1,1,POST;PRE,Captured by odds snapshot pipeline.
2026-05-23,1391189,La Liga,Alaves,Rayo Vallecano,OVER_2_5,DEEP_ANALYSIS_CANDIDATES,DEEP_ANALYSIS_BET,2.03,,,,,CLV_UNAVAILABLE,CLV unavailable: missing close-proxy price.,,,CANONICAL_CAPTURED,1,0,PRE,Captured by odds snapshot pipeline.
2026-05-23,1391190,La Liga,Real Betis,Levante,OVER_2_5,DEEP_ANALYSIS_CANDIDATES,DEEP_ANALYSIS_BET,1.78,,,,,CLV_UNAVAILABLE,CLV unavailable: missing close-proxy price.,,,CANONICAL_CAPTURED,1,0,PRE,Captured by odds snapshot pipeline.
2026-05-23,1391193,La Liga,Getafe,Osasuna,OVER_1_5,DEEP_ANALYSIS_CANDIDATES,DEEP_ANALYSIS_BET,1.69,,,,,CLV_UNAVAILABLE,CLV unavailable: missing close-proxy price.,,,CANONICAL_CAPTURED,1,0,PRE,Captured by odds snapshot pipeline.
2026-05-23,1490310,Major League Soccer,St. Louis City,Austin,OVER_2_5,DEEP_ANALYSIS_CANDIDATES,DEEP_ANALYSIS_BET,1.61,,,,,CLV_UNAVAILABLE,CLV unavailable: missing close-proxy price.,,,CANONICAL_CAPTURED,1,0,PRE,Captured by odds snapshot pipeline.
2026-05-23,1490317,Major League Soccer,Minnesota United FC,Real Salt Lake,OVER_2_5,DEEP_ANALYSIS_CANDIDATES,DEEP_ANALYSIS_BET,1.65,,,,,CLV_UNAVAILABLE,CLV unavailable: missing close-proxy price.,,,CANONICAL_CAPTURED,1,0,PRE,Captured by odds snapshot pipeline.
2026-05-23,1492279,Serie A,Vitoria,Internacional,OVER_1_5,DEEP_ANALYSIS_CANDIDATES,DEEP_ANALYSIS_BET,1.42,,,,,CLV_UNAVAILABLE,CLV unavailable: missing close-proxy price.,,,CANONICAL_CAPTURED,1,0,PRE,Captured by odds snapshot pipeline.
2026-05-23,1494182,Allsvenskan,Kalmar FF,Degerfors IF,OVER_1_5,CANDIDATE_V2_SCHEDULE_ANOMALY,CANDIDATE_V2;CANDIDATE_V2_RESULTS,1.4,,1.4,0.0,0.0,CLV_FLAT,Price movement was flat within tolerance.,PENDING,,CANONICAL_CAPTURED,1,1,POST;PRE,Captured by odds snapshot pipeline.
2026-05-23,1494182,Allsvenskan,Kalmar FF,Degerfors IF,OVER_1_5,DEEP_ANALYSIS_CANDIDATES,DEEP_ANALYSIS_BET,1.4,,,,,CLV_UNAVAILABLE,CLV unavailable: missing close-proxy price.,,,CANONICAL_CAPTURED,1,0,PRE,Captured by odds snapshot pipeline.
2026-05-23,1494182,Allsvenskan,Kalmar FF,Degerfors IF,OVER_1_5,OFFICIAL_BASELINE,EXECUTION_SHORTLIST;OFFICIAL_BASELINE;OFFICIAL_BASELINE_PRELOCK;OFFICIAL_RESULTS,1.4,,1.4,0.0,0.0,CLV_FLAT,Price movement was flat within tolerance.,PENDING,,CANONICAL_CAPTURED,1,1,CLOSE_PROXY;POST;PRE,Captured by odds snapshot pipeline.
2026-05-23,1504822,J1 League,Kashima,FC Tokyo,OVER_1_5,CANDIDATE_V2_SCHEDULE_ANOMALY,CANDIDATE_V2;CANDIDATE_V2_RESULTS,1.4,,1.4,0.0,0.0,CLV_FLAT,Price movement was flat within tolerance.,PENDING,,CANONICAL_CAPTURED,1,1,POST;PRE,Captured by odds snapshot pipeline.
2026-05-23,1504822,J1 League,Kashima,FC Tokyo,OVER_1_5,DEEP_ANALYSIS_CANDIDATES,DEEP_ANALYSIS_BET,1.4,,,,,CLV_UNAVAILABLE,CLV unavailable: missing close-proxy price.,,,CANONICAL_CAPTURED,1,0,PRE,Captured by odds snapshot pipeline.
2026-05-23,1504822,J1 League,Kashima,FC Tokyo,OVER_1_5,OFFICIAL_BASELINE,EXECUTION_SHORTLIST;OFFICIAL_BASELINE;OFFICIAL_BASELINE_PRELOCK;OFFICIAL_RESULTS,1.4,1.4,1.4,0.0,0.0,CLV_FLAT,Price movement was flat within tolerance.,PENDING,,CANONICAL_CAPTURED,1,1,CLOSE_PROXY;POST;PRE;PRELOCK,Captured by odds snapshot pipeline.
2026-05-23,1544683,Jupiler Pro League,Dender,Lommel United,OVER_2_5,DEEP_ANALYSIS_CANDIDATES,DEEP_ANALYSIS_BET,1.78,,,,,CLV_UNAVAILABLE,CLV unavailable: missing close-proxy price.,,,CANONICAL_CAPTURED,1,0,PRE,Captured by odds snapshot pipeline.
