target_date,generated_at,component,path,exists,row_count,date_status,decision_counts,quality_counts,status,detail,auto_apply,production_change
2026-06-21,2026-06-21T11:52:46+01:00,real_objective_context_gate,data/processed/today/2026-06-21/vsigma_real_objective_context_gate.csv,true,0,NO_ROWS,none,none,EMPTY_REQUIRED,required upstream file exists but has zero rows,NO,NO
2026-06-21,2026-06-21T11:52:46+01:00,objective_availability_gate,data/processed/today/2026-06-21/vsigma_objective_availability_gate.csv,true,0,NO_ROWS,none,none,EMPTY_REQUIRED,required upstream file exists but has zero rows,NO,NO
2026-06-21,2026-06-21T11:52:46+01:00,context_adjusted_final_picks,data/processed/today/2026-06-21/vsigma_context_adjusted_final_picks.csv,true,0,NO_ROWS,none,none,EMPTY_REQUIRED,required upstream file exists but has zero rows,NO,NO
2026-06-21,2026-06-21T11:52:46+01:00,context_matrix,data/processed/today/2026-06-21/vsigma_context_matrix.csv,false,0,MISSING,none,none,MISSING_REQUIRED,required upstream file is missing,NO,NO
2026-06-21,2026-06-21T11:52:46+01:00,context_matrix_portfolio,data/processed/today/2026-06-21/vsigma_context_matrix_portfolio.csv,false,0,MISSING,none,none,MISSING_REQUIRED,required upstream file is missing,NO,NO
2026-06-21,2026-06-21T11:52:46+01:00,match_stat_forecasts,data/processed/today/2026-06-21/vsigma_match_stat_forecasts.csv,true,11,OK,none,forecast_confidence:LOW=11 | source_guard:DATED_INPUT_ONLY=11 | forecast_warning:PARTIAL_RECENT_STATS; SHOT_SAMPLE_WEAK; CORNER_SAMPLE_WEAK; CARD_SAMPLE_WEAK=11,OK,file has rows and passed basic diagnostic checks,NO,NO
2026-06-21,2026-06-21T11:52:46+01:00,forecast_market_translator,data/processed/today/2026-06-21/vsigma_forecast_market_translator.csv,true,11,OK,portfolio_status:NO_PORTFOLIO_CONTEXT=11 | execution_permission:NO_BET=11,forecast_confidence:LOW=11 | context_level:BLANK=11 | source_guard:DATED_INPUT_ONLY=11 | kill_switch:LOW_FORECAST_CONFIDENCE=11 | forecast_warning:PARTIAL_RECENT_STATS; SHOT_SAMPLE_WEAK; CORNER_SAMPLE_WEAK; CARD_SAMPLE_WEAK=11,OK,file has rows and passed basic diagnostic checks,NO,NO
2026-06-21,2026-06-21T11:52:46+01:00,daily_execution_board,data/processed/today/2026-06-21/vsigma_daily_execution_board.csv,true,11,OK,final_decision:NO_BET=11 | board_bucket:BLOCKED=11 | portfolio_status:NO_PORTFOLIO_CONTEXT=11 | execution_permission:NO=11,forecast_confidence:LOW=11 | context_level:BLANK=11 | source_guard:DATED_INPUT_ONLY; API_COVERAGE_GATE_V2=11 | kill_switch:LOW_FORECAST_CONFIDENCE=11 | forecast_warning:PARTIAL_RECENT_STATS; SHOT_SAMPLE_WEAK; CORNER_SAMPLE_WEAK; CARD_SAMPLE_WEAK=11,OK,file has rows and passed basic diagnostic checks,NO,NO
2026-06-21,2026-06-21T11:52:46+01:00,fixture_api_coverage_matrix,data/processed/today/2026-06-21/vsigma_fixture_api_coverage_matrix_v3.csv,false,0,MISSING,none,none,MISSING_OPTIONAL,optional upstream file is missing,NO,NO
2026-06-21,2026-06-21T11:52:46+01:00,probable_lineup_consensus,data/processed/today/2026-06-21/vsigma_probable_lineup_consensus.csv,true,11,OK,none,source_guard:fixtures=matches_vsigma_scored_v3.csv; probable_sources=NO_SOURCE_FILE=11,OK,file has rows and passed basic diagnostic checks,NO,NO
