target_date,generated_at,fixture_id,home_team,away_team,api_readiness_gate,coverage_score,original_final_decision,final_decision,original_execution_permission,execution_permission,gate_action,gate_reason,missing_blocks,auto_apply,production_change
2026-05-29,2026-05-29T15:17:28+01:00,1545797,Monza,Catanzaro,WAIT_LINEUPS_OR_LIVE_ONLY,65.0,LIVE_ONLY,LIVE_ONLY,LIVE_ONLY,LIVE_ONLY,PREMATCH_BLOCKED_KEEP_WATCH,Lineups unavailable; prematch execution blocked.,lineup_coverage=NONE; injuries_coverage=NONE,NO,NO
2026-05-29,2026-05-29T15:17:28+01:00,1494683,Valerenga,Kristiansund BK,WAIT_LINEUPS_OR_LIVE_ONLY,80.0,STAT_WATCH_ONLY,STAT_WATCH_ONLY,STAT_WATCH_ONLY,NO_PREMATCH,PREMATCH_BLOCKED_KEEP_WATCH,Lineups unavailable; prematch execution blocked.,lineup_coverage=NONE,NO,NO
2026-05-29,2026-05-29T15:17:28+01:00,1494678,Fredrikstad,Start,WAIT_LINEUPS_OR_LIVE_ONLY,80.0,NO_BET_OR_WATCH,NO_BET_OR_WATCH,NO_BET_OR_WATCH,NO_PREMATCH,PREMATCH_BLOCKED_KEEP_WATCH,Lineups unavailable; prematch execution blocked.,lineup_coverage=NONE,NO,NO
2026-05-29,2026-05-29T15:17:28+01:00,1494191,Orgryte IS,IF Elfsborg,WAIT_LINEUPS_OR_LIVE_ONLY,80.0,NO_BET_OR_WATCH,NO_BET_OR_WATCH,NO_BET_OR_WATCH,NO_PREMATCH,PREMATCH_BLOCKED_KEEP_WATCH,Lineups unavailable; prematch execution blocked.,lineup_coverage=NONE,NO,NO
2026-05-29,2026-05-29T15:17:28+01:00,1494676,Aalesund,Ham-Kam,WAIT_LINEUPS_OR_LIVE_ONLY,80.0,NO_BET_OR_WATCH,NO_BET_OR_WATCH,NO_BET_OR_WATCH,NO_PREMATCH,PREMATCH_BLOCKED_KEEP_WATCH,Lineups unavailable; prematch execution blocked.,lineup_coverage=NONE,NO,NO
2026-05-29,2026-05-29T15:17:28+01:00,1535232,Tigre,Alianza Atletico,WAIT_LINEUPS_OR_LIVE_ONLY,65.0,NO_BET_OR_WATCH,NO_BET_OR_WATCH,NO_BET_OR_WATCH,NO_PREMATCH,PREMATCH_BLOCKED_KEEP_WATCH,Lineups unavailable; prematch execution blocked.,lineup_coverage=NONE; injuries_coverage=NONE,NO,NO
2026-05-29,2026-05-29T15:17:28+01:00,1494682,Rosenborg,Bodo/Glimt,WAIT_LINEUPS_OR_LIVE_ONLY,80.0,NO_BET_OR_WATCH,NO_BET_OR_WATCH,NO_BET_OR_WATCH,NO_PREMATCH,PREMATCH_BLOCKED_KEEP_WATCH,Lineups unavailable; prematch execution blocked.,lineup_coverage=NONE,NO,NO
2026-05-29,2026-05-29T15:17:28+01:00,1535318,Cruzeiro,Barcelona SC,WAIT_LINEUPS_OR_LIVE_ONLY,65.0,NO_BET_OR_WATCH,NO_BET_OR_WATCH,NO_BET_OR_WATCH,NO_PREMATCH,PREMATCH_BLOCKED_KEEP_WATCH,Lineups unavailable; prematch execution blocked.,lineup_coverage=NONE; injuries_coverage=NONE,NO,NO
2026-05-29,2026-05-29T15:17:28+01:00,1535314,Boca Juniors,U. Catolica,WAIT_LINEUPS_OR_LIVE_ONLY,65.0,NO_BET_OR_WATCH,NO_BET_OR_WATCH,NO_BET_OR_WATCH,NO_PREMATCH,PREMATCH_BLOCKED_KEEP_WATCH,Lineups unavailable; prematch execution blocked.,lineup_coverage=NONE; injuries_coverage=NONE,NO,NO
2026-05-29,2026-05-29T15:17:28+01:00,1545409,Nice,Saint Etienne,WAIT_LINEUPS_OR_LIVE_ONLY,72.5,NO_BET_OR_WATCH,NO_BET_OR_WATCH,NO_BET_OR_WATCH,NO_PREMATCH,PREMATCH_BLOCKED_KEEP_WATCH,Lineups unavailable; prematch execution blocked.,lineup_coverage=NONE; standings_coverage=PARTIAL,NO,NO
