target_date,generated_at,section,status,detail,next_action,auto_apply,production_change
2026-06-02,2026-06-02T17:59:04+01:00,operator_gate,PARTIAL_OUTPUTS,action=NONE; final=NO_OPERATOR_ACTION; risk=NONE; health=UNKNOWN; board_rows=0,Use this as the first read; never override BROKEN/NO_BET gates.,NO,NO
2026-06-02,2026-06-02T17:59:04+01:00,executable_prematch,NO_BOARD,daily execution board missing,"Only rows here can be discussed as prematch executable, still manual-only.",NO,NO
2026-06-02,2026-06-02T17:59:04+01:00,live_only,NONE,no live-only rows,Wait for live trigger confirmation; no chase outside window.,NO,NO
2026-06-02,2026-06-02T17:59:04+01:00,watchlist,NONE,no watchlist rows,Observation only unless promoted by later gates.,NO,NO
2026-06-02,2026-06-02T17:59:04+01:00,no_bet,NONE,no no-bet rows,Do not fill ranking from blocked rows.,NO,NO
2026-06-02,2026-06-02T17:59:04+01:00,api_coverage,MISSING_BOARD,NO_BOARD_ROWS,Coverage gaps block promotion; do not infer missing data.,NO,NO
2026-06-02,2026-06-02T17:59:04+01:00,official_probable_lineups,OK,files=2; rows=40; statuses=UNKNOWN=1; LEARNING_ONLY=1; IMPORTED=6,Probables do not become official; quarantine/learning-only stays non-execution.,NO,NO
2026-06-02,2026-06-02T17:59:04+01:00,source_reliability_governor,ADVISORY_ONLY,sources=15; verdicts=HOLD_SAMPLE=15; sample_gates=INSUFFICIENT_SAMPLE=15; actions=KEEP_ACTIVE_COLLECT_MORE_DATA=15,Advisory only; no automatic source weight changes.,NO,NO
2026-06-02,2026-06-02T17:59:04+01:00,automation_health,MISSING,automation health report unavailable,"If BROKEN, fix workflow/input before talking picks.",NO,NO
2026-06-02,2026-06-02T17:59:04+01:00,next_triggers_rechecks,DIAGNOSTIC,triggers=3,Use scheduled workflows or trigger bridge; no betting execution.,NO,NO
2026-06-02,2026-06-02T17:59:03+01:00,date_coherence_guard,MISSING_DAILY_BOARD,board_status=daily_board_md=MISSING_CORE; daily_board_csv=MISSING_CORE; mismatch_count=0; missing_core_count=3; trigger_date_counts=2026-06-02=2,Run daily decision chain for target date before using prelock/live/operator outputs.,NO,NO
2026-06-02,2026-06-02T17:59:03+01:00,upstream_board_input_diagnostic,UPSTREAM_MISSING,first_empty_required_component=real_objective_context_gate; forecast_rows=0; translator_rows=0; board_rows=0,Build missing required upstream component first: real_objective_context_gate.,NO,NO
2026-06-02,2026-06-02T17:59:03+01:00,real_shortlist_recovery_diagnostic,FILTERS_TOO_STRICT_OR_SELECTOR_NOT_RUN,root_cause=scoring has same-day rows but real shortlist/bets outputs are absent or empty; root_scored_same_day_rows=1; real_shortlist_rows=0; real_bet_rows=0; proxy_rows=0,Run/repair real selection step from scored matches into shortlist/bets-only outputs.,NO,NO
2026-06-02,2026-06-02T17:59:03+01:00,local_raw_fixture_discovery,LOCAL_RAW_CANDIDATES_FOUND,files_scanned=1353; accepted_rows=59; rejected_rows=122,"Review accepted rows, then feed normal scoring gates.",NO,NO
2026-06-02,2026-06-02T17:59:04+01:00,raw_candidate_trust_gate,TRUSTED_RAW_SOURCE=45; QUARANTINE_REVIEW=14,rows_reviewed=59; trusted_rows=45; blocked_rows=0; quarantine_rows=14,Only TRUSTED_RAW_SOURCE rows may be considered for scoring; quarantine/rejected rows remain diagnostic only.,NO,NO
2026-06-02,2026-06-02T17:59:04+01:00,trusted_raw_candidate_promotion_gate,TRUSTED_SOURCE_BUT_NO_SCORED_ROW=44; NOT_TRUSTED_NO_PROMOTION=14; TRUSTED_SOURCE_BUT_NO_DATA_BLOCKED=1,rows_reviewed=59; promoted_rows=0; blocked_rows=1; quarantine_rows=44,No promotion unless TRUSTED_RAW_SOURCE has non-blocked scored data. Keep No Bet for blocked rows.,NO,NO
