target_date,file_name,path,pipeline_mode,candidate_version,status,detail,rows,snapshot_path
2026-05-14,vsigma_today_competition_shortlist.csv,C:\vsigma\data\processed\vsigma_today_competition_shortlist.csv,PRE,OFFICIAL_BASELINE,PASS,output is fresh for requested target date,2,C:\vsigma\data\processed\today\2026-05-14\vsigma_today_competition_shortlist.csv
2026-05-14,vsigma_today_competition_top.csv,C:\vsigma\data\processed\vsigma_today_competition_top.csv,PRE,OFFICIAL_BASELINE,PASS,output is fresh for requested target date,2,C:\vsigma\data\processed\today\2026-05-14\vsigma_today_competition_top.csv
2026-05-14,vsigma_today_candidate_v2_competition_shortlist.csv,C:\vsigma\data\processed\vsigma_today_candidate_v2_competition_shortlist.csv,PRE,CANDIDATE_V2,PASS,output is fresh for requested target date,2,C:\vsigma\data\processed\today\2026-05-14\vsigma_today_candidate_v2_competition_shortlist.csv
2026-05-14,vsigma_today_candidate_v2_competition_top.csv,C:\vsigma\data\processed\vsigma_today_candidate_v2_competition_top.csv,PRE,CANDIDATE_V2,PASS,output is fresh for requested target date,2,C:\vsigma\data\processed\today\2026-05-14\vsigma_today_candidate_v2_competition_top.csv
2026-05-14,vsigma_today_candidate_v4_competition_shortlist.csv,C:\vsigma\data\processed\vsigma_today_candidate_v4_competition_shortlist.csv,PRE,CANDIDATE_V4,PASS,output is fresh for requested target date,2,C:\vsigma\data\processed\today\2026-05-14\vsigma_today_candidate_v4_competition_shortlist.csv
2026-05-14,vsigma_today_candidate_v4_competition_top.csv,C:\vsigma\data\processed\vsigma_today_candidate_v4_competition_top.csv,PRE,CANDIDATE_V4,PASS,output is fresh for requested target date,2,C:\vsigma\data\processed\today\2026-05-14\vsigma_today_candidate_v4_competition_top.csv
2026-05-14,vsigma_today_candidate_v5_competition_shortlist.csv,C:\vsigma\data\processed\vsigma_today_candidate_v5_competition_shortlist.csv,PRE,CANDIDATE_V5,PASS,output is fresh for requested target date,2,C:\vsigma\data\processed\today\2026-05-14\vsigma_today_candidate_v5_competition_shortlist.csv
2026-05-14,vsigma_today_candidate_v5_competition_top.csv,C:\vsigma\data\processed\vsigma_today_candidate_v5_competition_top.csv,PRE,CANDIDATE_V5,PASS,output is fresh for requested target date,2,C:\vsigma\data\processed\today\2026-05-14\vsigma_today_candidate_v5_competition_top.csv
2026-05-14,vsigma_today_candidate_v6_competition_shortlist.csv,C:\vsigma\data\processed\vsigma_today_candidate_v6_competition_shortlist.csv,PRE,CANDIDATE_V6,PASS,output is fresh for requested target date,2,C:\vsigma\data\processed\today\2026-05-14\vsigma_today_candidate_v6_competition_shortlist.csv
2026-05-14,vsigma_today_candidate_v6_competition_top.csv,C:\vsigma\data\processed\vsigma_today_candidate_v6_competition_top.csv,PRE,CANDIDATE_V6,PASS,output is fresh for requested target date,2,C:\vsigma\data\processed\today\2026-05-14\vsigma_today_candidate_v6_competition_top.csv
2026-05-14,vsigma_today_baseline_vs_candidate_v2.csv,C:\vsigma\data\processed\vsigma_today_baseline_vs_candidate_v2.csv,PRE,COMPARISON,PASS,output is fresh for requested target date,2,C:\vsigma\data\processed\today\2026-05-14\vsigma_today_baseline_vs_candidate_v2.csv
2026-05-14,vsigma_today_baseline_vs_candidate_v2_vs_candidate_v4.csv,C:\vsigma\data\processed\vsigma_today_baseline_vs_candidate_v2_vs_candidate_v4.csv,PRE,COMPARISON,PASS,output is fresh for requested target date,2,C:\vsigma\data\processed\today\2026-05-14\vsigma_today_baseline_vs_candidate_v2_vs_candidate_v4.csv
2026-05-14,vsigma_today_baseline_vs_candidate_v2_vs_candidate_v5.csv,C:\vsigma\data\processed\vsigma_today_baseline_vs_candidate_v2_vs_candidate_v5.csv,PRE,COMPARISON,PASS,output is fresh for requested target date,2,C:\vsigma\data\processed\today\2026-05-14\vsigma_today_baseline_vs_candidate_v2_vs_candidate_v5.csv
2026-05-14,vsigma_today_baseline_vs_candidate_v2_vs_candidate_v6.csv,C:\vsigma\data\processed\vsigma_today_baseline_vs_candidate_v2_vs_candidate_v6.csv,PRE,COMPARISON,PASS,output is fresh for requested target date,2,C:\vsigma\data\processed\today\2026-05-14\vsigma_today_baseline_vs_candidate_v2_vs_candidate_v6.csv
2026-05-14,vsigma_today_match_script_forecasts.csv,C:\vsigma\data\processed\vsigma_today_match_script_forecasts.csv,PRE,FORECAST,PASS,output is fresh for requested target date,2,C:\vsigma\data\processed\today\2026-05-14\vsigma_today_match_script_forecasts.csv
2026-05-14,vsigma_today_candidate_v2_match_script_forecasts.csv,C:\vsigma\data\processed\vsigma_today_candidate_v2_match_script_forecasts.csv,PRE,FORECAST_CANDIDATE_V2,PASS,output is fresh for requested target date,2,C:\vsigma\data\processed\today\2026-05-14\vsigma_today_candidate_v2_match_script_forecasts.csv
2026-05-14,vsigma_today_candidate_v4_match_script_forecasts.csv,C:\vsigma\data\processed\vsigma_today_candidate_v4_match_script_forecasts.csv,PRE,FORECAST_CANDIDATE_V4,PASS,output is fresh for requested target date,2,C:\vsigma\data\processed\today\2026-05-14\vsigma_today_candidate_v4_match_script_forecasts.csv
2026-05-14,vsigma_today_prelock_competition_top.csv,C:\vsigma\data\processed\vsigma_today_prelock_competition_top.csv,PRELOCK,OFFICIAL_BASELINE_PRELOCK,PASS,output is fresh for requested target date,1,C:\vsigma\data\processed\today\2026-05-14\vsigma_today_prelock_competition_top.csv
